Code,Amphiprion.clarkii,Apogon.rueppellii,Apogon.spp,Austrolabrus.maculatus,Chaetodon.assarius,Chaetodon.plebeius,Chromis.viridis,Chromis.westaustralis,Cirrhilabrus.temminckii,Coris.auricularis,Dascyllus.aruanus,Dascyllus.reticulatus,Labroides.dimidiatus,Parupeneus.spilurus,Pentapodus.nagasakiensis,Pentapodus.vitta,Pomacentrus.milleri,Stegastes.obreptus,Stethojulis.strigiventer,Suezichthys.cyanolaemus,Trachinops.brauni,,SmallSt,SmallOp,Smallyr,SmallLoc,SmallSite
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD4c,2008,Pelsaert,Wann.Is.
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD4c,2008,Pelsaert,Whale.Bay
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD4c,2008,Pelsaert,Woody.Is.
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD4c,2008,Wallabi,Beacon.Is.
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD4c,2008,Wallabi,Coral.Patches
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD4c,2008,Wallabi,Dive.Trail
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD4c,2008,Wallabi,Fish.Point
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD4c,2008,Wallabi,Leo's.Is.
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD4c,2008,Wallabi,Long.Is.
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD4c,2008,Wallabi,Newman.Is.
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD4c,2008,Wallabi,Rat.Is.
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD4c,2008,Wallabi,Stick.Is.
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD4c,2008,Wallabi,Suomi.Is.
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD4c,2008,Wallabi,Wann.Is.
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD4c,2008,Wallabi,Whale.Bay
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD4c,2008,Wallabi,Woody.Is.
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD4c,2009,Easter,Beacon.Is.
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD4c,2009,Easter,Coral.Patches
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD4c,2009,Easter,Dive.Trail
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD4c,2009,Easter,Fish.Point
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD4c,2009,Easter,Leo's.Is.
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD4c,2009,Easter,Long.Is.
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD4c,2009,Easter,Newman.Is.
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD4c,2009,Easter,Rat.Is.
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD4c,2009,Easter,Stick.Is.
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD4c,2009,Easter,Suomi.Is.
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD4c,2009,Easter,Wann.Is.
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD4c,2009,Easter,Whale.Bay
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD4c,2009,Easter,Woody.Is.
53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD4c,2009,Pelsaert,Beacon.Is.
54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD4c,2009,Pelsaert,Coral.Patches
55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD4c,2009,Pelsaert,Dive.Trail
56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD4c,2009,Pelsaert,Fish.Point
57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD4c,2009,Pelsaert,Leo's.Is.
58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD4c,2009,Pelsaert,Long.Is.
59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD4c,2009,Pelsaert,Newman.Is.
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD4c,2009,Pelsaert,Rat.Is.
61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD4c,2009,Pelsaert,Stick.Is.
62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD4c,2009,Pelsaert,Suomi.Is.
63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD4c,2009,Pelsaert,Wann.Is.
64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD4c,2009,Pelsaert,Whale.Bay
65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD4c,2009,Pelsaert,Woody.Is.
66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD4c,2009,Wallabi,Beacon.Is.
67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD4c,2009,Wallabi,Coral.Patches
68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD4c,2009,Wallabi,Dive.Trail
69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD4c,2009,Wallabi,Fish.Point
70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD4c,2009,Wallabi,Leo's.Is.
71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD4c,2009,Wallabi,Long.Is.
72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD4c,2009,Wallabi,Newman.Is.
73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD4c,2009,Wallabi,Rat.Is.
74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD4c,2009,Wallabi,Stick.Is.
75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD4c,2009,Wallabi,Suomi.Is.
76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD4c,2009,Wallabi,Wann.Is.
77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD4c,2009,Wallabi,Whale.Bay
78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD4c,2009,Wallabi,Woody.Is.
79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD4c,2010,Easter,Beacon.Is.
80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD4c,2010,Easter,Coral.Patches
81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD4c,2010,Easter,Dive.Trail
82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD4c,2010,Easter,Fish.Point
83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD4c,2010,Easter,Leo's.Is.
84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD4c,2010,Easter,Long.Is.
85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD4c,2010,Easter,Newman.Is.
86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,Fished,10EFD4c,2010,Easter,Rat.Is.
87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD4c,2010,Easter,Stick.Is.
88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD4c,2010,Easter,Suomi.Is.
89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD4c,2010,Easter,Wann.Is.
90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD4c,2010,Easter,Whale.Bay
91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD4c,2010,Easter,Woody.Is.
92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD4c,2010,Pelsaert,Beacon.Is.
93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD4c,2010,Pelsaert,Coral.Patches
94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD4c,2010,Pelsaert,Dive.Trail
95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD4c,2010,Pelsaert,Fish.Point
96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD4c,2010,Pelsaert,Leo's.Is.
97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD4c,2010,Pelsaert,Long.Is.
98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD4c,2010,Pelsaert,Newman.Is.
99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD4c,2010,Pelsaert,Rat.Is.
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD4c,2010,Pelsaert,Stick.Is.
101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD4c,2010,Pelsaert,Suomi.Is.
102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD4c,2010,Pelsaert,Wann.Is.
103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD4c,2010,Pelsaert,Whale.Bay
104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD4c,2010,Pelsaert,Woody.Is.
105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD4c,2010,Wallabi,Beacon.Is.
106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD4c,2010,Wallabi,Coral.Patches
107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD4c,2010,Wallabi,Dive.Trail
108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD4c,2010,Wallabi,Fish.Point
109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD4c,2010,Wallabi,Leo's.Is.
110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD4c,2010,Wallabi,Long.Is.
111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD4c,2010,Wallabi,Newman.Is.
112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD4c,2010,Wallabi,Rat.Is.
113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD4c,2010,Wallabi,Stick.Is.
114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD4c,2010,Wallabi,Suomi.Is.
115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD4c,2010,Wallabi,Wann.Is.
116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD4c,2010,Wallabi,Whale.Bay
117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD4c,2010,Wallabi,Woody.Is.
118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD5c,2008,Easter,Beacon.Is.
119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD5c,2008,Easter,Coral.Patches
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD5c,2008,Easter,Dive.Trail
121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD5c,2008,Easter,Fish.Point
122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD5c,2008,Easter,Leo's.Is.
123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD5c,2008,Easter,Long.Is.
124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD5c,2008,Easter,Newman.Is.
125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD5c,2008,Easter,Rat.Is.
126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD5c,2008,Easter,Stick.Is.
127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD5c,2008,Easter,Suomi.Is.
128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD5c,2008,Easter,Wann.Is.
129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD5c,2008,Easter,Whale.Bay
130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD5c,2008,Easter,Woody.Is.
131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD5c,2008,Pelsaert,Beacon.Is.
132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD5c,2008,Pelsaert,Coral.Patches
133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD5c,2008,Pelsaert,Dive.Trail
134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD5c,2008,Pelsaert,Fish.Point
135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD5c,2008,Pelsaert,Leo's.Is.
136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD5c,2008,Pelsaert,Long.Is.
137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD5c,2008,Pelsaert,Newman.Is.
138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD5c,2008,Pelsaert,Rat.Is.
139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD5c,2008,Pelsaert,Stick.Is.
140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD5c,2008,Pelsaert,Suomi.Is.
141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD5c,2008,Pelsaert,Wann.Is.
142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD5c,2008,Pelsaert,Whale.Bay
143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD5c,2008,Pelsaert,Woody.Is.
144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD5c,2008,Wallabi,Beacon.Is.
145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD5c,2008,Wallabi,Coral.Patches
146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD5c,2008,Wallabi,Dive.Trail
147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD5c,2008,Wallabi,Fish.Point
148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD5c,2008,Wallabi,Leo's.Is.
149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD5c,2008,Wallabi,Long.Is.
150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD5c,2008,Wallabi,Newman.Is.
151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD5c,2008,Wallabi,Rat.Is.
152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD5c,2008,Wallabi,Stick.Is.
153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD5c,2008,Wallabi,Suomi.Is.
154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD5c,2008,Wallabi,Wann.Is.
155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD5c,2008,Wallabi,Whale.Bay
156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD5c,2008,Wallabi,Woody.Is.
157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD5c,2009,Easter,Beacon.Is.
158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD5c,2009,Easter,Coral.Patches
159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD5c,2009,Easter,Dive.Trail
160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD5c,2009,Easter,Fish.Point
161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD5c,2009,Easter,Leo's.Is.
162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD5c,2009,Easter,Long.Is.
163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD5c,2009,Easter,Newman.Is.
164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD5c,2009,Easter,Rat.Is.
165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD5c,2009,Easter,Stick.Is.
166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD5c,2009,Easter,Suomi.Is.
167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD5c,2009,Easter,Wann.Is.
168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD5c,2009,Easter,Whale.Bay
169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD5c,2009,Easter,Woody.Is.
170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD5c,2009,Pelsaert,Beacon.Is.
171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD5c,2009,Pelsaert,Coral.Patches
172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD5c,2009,Pelsaert,Dive.Trail
173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD5c,2009,Pelsaert,Fish.Point
174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD5c,2009,Pelsaert,Leo's.Is.
175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD5c,2009,Pelsaert,Long.Is.
176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD5c,2009,Pelsaert,Newman.Is.
177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD5c,2009,Pelsaert,Rat.Is.
178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD5c,2009,Pelsaert,Stick.Is.
179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD5c,2009,Pelsaert,Suomi.Is.
180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD5c,2009,Pelsaert,Wann.Is.
181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD5c,2009,Pelsaert,Whale.Bay
182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD5c,2009,Pelsaert,Woody.Is.
183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD5c,2009,Wallabi,Beacon.Is.
184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Fished,10EFD5c,2009,Wallabi,Coral.Patches
